entity,coupled,degree,average-revs,structurally_coupled,direction
crates/ra_assists/src/assists/add_derive.rs,crates/ra_assists/src/assists/add_impl.rs,85,7,No,None
crates/rust-analyzer/src/diagnostics/test_data/handles_macro_location.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_mismatched_type.txt,84,10,No,None
crates/ide/src/syntax_highlighting/test_data/highlight_assoc_functions.html,crates/ide/src/syntax_highlighting/test_data/highlight_injection.html,83,24,No,None
crates/ide-completion/src/completions/attribute/derive.rs,crates/ide-completion/src/completions/vis.rs,83,16,No,None
crates/ra_ide/test_data/highlight_doctest.html,crates/ra_ide/test_data/highlighting.html,83,12,No,None
crates/ra_macros/src/lib.rs,crates/ra_macros/src/mbe.rs,83,6,No,None
crates/ra_ide_api_light/src/snapshots/tests__file_structure.snap,crates/ra_ide_api_light/src/structure.rs,83,6,No,None
crates/hir/src/term_search/mod.rs,crates/hir/src/term_search/type_tree.rs,83,6,No,None
crates/ra_hir/src/nameres/crate_def_map/collector.rs,crates/ra_hir/src/nameres/crate_def_map/raw.rs,83,6,No,None
crates/ra_ide/test_data/highlight_strings.html,crates/ra_ide/test_data/rainbow_highlighting.html,83,6,No,None
crates/ra_macros/src/mbe.rs,crates/ra_macros/src/mbe_parser.rs,83,6,No,None
crates/proc-macro-srv/src/server/rust_analyzer_span.rs,crates/proc-macro-srv/src/server/token_id.rs,82,21,No,None
crates/ra_ide/test_data/highlight_doctest.html,crates/ra_ide/test_data/highlight_injection.html,82,9,No,None
crates/project-model/test_data/output/cargo_hello_world_project_model_with_selective_overrides.txt,crates/project-model/test_data/output/rust_project_hello_world_project_model.txt,81,19,No,None
crates/project-model/test_data/output/cargo_hello_world_project_model_with_wildcard_overrides.txt,crates/project-model/test_data/output/rust_project_hello_world_project_model.txt,81,19,No,None
crates/project-model/test_data/output/cargo_hello_world_project_model.txt,crates/project-model/test_data/output/rust_project_hello_world_project_model.txt,81,19,No,None
crates/ra_ide/src/snapshots/highlight_injection.html,crates/ra_ide/src/snapshots/highlight_strings.html,81,16,No,None
